player_name,hitter_rating
Aaron Judge,1.18
Juan Soto,1.15
Giancarlo Stanton,1.05
Anthony Volpe,1.01
Gleyber Torres,1.00
Austin Wells,0.97
Alex Verdugo,0.98
DJ LeMahieu,0.96
Anthony Rizzo,1.00
Rafael Devers,1.12
Triston Casas,1.05
Jarren Duran,1.04
Trevor Story,0.97
Masataka Yoshida,1.00
Wilyer Abreu,0.98
Tyler O'Neill,1.02
Connor Wong,0.95
Ceddanne Rafaela,0.94
Mookie Betts,1.16
Freddie Freeman,1.15
Shohei Ohtani,1.20
Will Smith,1.07
Max Muncy,1.05
Teoscar Hernandez,1.03
Gavin Lux,0.96
James Outman,0.94
Chris Taylor,0.92
Ronald Acuna Jr.,1.17
Matt Olson,1.11
Austin Riley,1.09
Ozzie Albies,1.05
Marcell Ozuna,1.07
Michael Harris II,1.02
Sean Murphy,1.00
Orlando Arcia,0.92
Jarred Kelenic,0.94
Cody Bellinger,1.02
Dansby Swanson,1.00
Seiya Suzuki,1.03
Ian Happ,1.01
Nico Hoerner,0.98
Christopher Morel,1.00
Michael Busch,0.97
Miguel Amaya,0.91
Pete Crow-Armstrong,0.90
Paul Goldschmidt,1.03
Nolan Arenado,1.01
Willson Contreras,1.02
Brendan Donovan,0.98
Lars Nootbaar,0.99
Jordan Walker,0.96
Alec Burleson,0.95
Masyn Winn,0.93
Nolan Gorman,1.00
Bryce Harper,1.12
Trea Turner,1.06
Kyle Schwarber,1.08
JT Realmuto,1.01
Nick Castellanos,1.00
Bryson Stott,0.97
Alec Bohm,1.00
Brandon Marsh,0.96
Edmundo Sosa,0.91
Julio Rodriguez,1.08
Cal Raleigh,1.01
Jorge Polanco,0.98
Mitch Haniger,0.95
Ty France,0.96
J.P. Crawford,0.94
Luke Raley,0.97
Josh Rojas,0.93
Dominic Canzone,0.91
