team,park_factor
Arizona Diamondbacks,1.01
Atlanta Braves,1.02
Baltimore Orioles,0.99
Boston Red Sox,1.01
Chicago Cubs,1.00
Chicago White Sox,1.02
Cincinnati Reds,1.03
Cleveland Guardians,0.98
Colorado Rockies,1.10
Detroit Tigers,0.97
Houston Astros,1.00
Kansas City Royals,1.01
Los Angeles Angels,1.00
Los Angeles Dodgers,0.99
Miami Marlins,0.97
Milwaukee Brewers,1.01
Minnesota Twins,1.00
New York Mets,0.98
New York Yankees,1.02
Athletics,0.99
Philadelphia Phillies,1.01
Pittsburgh Pirates,0.98
San Diego Padres,0.97
San Francisco Giants,0.97
Seattle Mariners,0.98
St. Louis Cardinals,1.00
Tampa Bay Rays,0.98
Texas Rangers,1.03
Toronto Blue Jays,1.01
Washington Nationals,1.00
