pitcher_name,pitcher_rating,fip,throws
Chris Sale,0.60,2.09,L
Tarik Skubal,0.6432,2.49,L
Spencer Strider,0.7362,2.85,R
Cole Ragans,0.7724,2.99,L
Cristopher Sanchez,0.7750,3.00,L
Logan Webb,0.7783,3.013,R
Justin Steele,0.7802,3.02,L
Sonny Gray,0.7835,3.033,R
Zack Wheeler,0.8101,3.136,R
Gerrit Cole,0.8163,3.16,R
Framber Valdez,0.8589,3.325,L
Max Fried,0.8602,3.33,L
Blake Snell,0.8887,3.44,L
Logan Gilbert,0.8897,3.444,R
Jack Flaherty,0.8990,3.48,R
MacKenzie Gore,0.9119,3.53,L
Kevin Gausman,0.9119,3.53,R
Pablo Lopez,0.9181,3.554,R
Corbin Burnes,0.9372,3.628,R
Shota Imanaga,0.9610,3.72,L
Nathan Eovaldi,0.9894,3.83,R
Nestor Cortes,0.9920,3.84,L
Luis Castillo,1.0023,3.88,R
Aaron Nola,1.0248,3.967,R
Freddy Peralta,1.0506,4.067,R
Chris Bassitt,1.0695,4.14,R
Brayan Bello,1.0824,4.19,R
Luis Severino,1.0876,4.21,R
Charlie Morton,1.1064,4.283,R
Carlos Rodon,1.1341,4.39,L
Jose Berrios,1.1627,4.501,R
Jose Quintana,1.1780,4.56,L
Patrick Corbin,1.2067,4.671,L
JP Sears,1.2508,4.842,L
Lucas Giolito,1.3614,5.27,R
Lance Lynn,1.4286,5.53,R
Jordan Lyles,1.4518,5.62,R
