team,player_name,batting_order
New York Yankees,Juan Soto,1
New York Yankees,Aaron Judge,2
New York Yankees,Anthony Rizzo,3
New York Yankees,Giancarlo Stanton,4
New York Yankees,Gleyber Torres,5
New York Yankees,Anthony Volpe,6
New York Yankees,Alex Verdugo,7
New York Yankees,Austin Wells,8
New York Yankees,DJ LeMahieu,9
Boston Red Sox,Jarren Duran,1
Boston Red Sox,Rafael Devers,2
Boston Red Sox,Triston Casas,3
Boston Red Sox,Tyler O'Neill,4
Boston Red Sox,Masataka Yoshida,5
Boston Red Sox,Trevor Story,6
Boston Red Sox,Wilyer Abreu,7
Boston Red Sox,Connor Wong,8
Boston Red Sox,Ceddanne Rafaela,9
Los Angeles Dodgers,Mookie Betts,1
Los Angeles Dodgers,Shohei Ohtani,2
Los Angeles Dodgers,Freddie Freeman,3
Los Angeles Dodgers,Will Smith,4
Los Angeles Dodgers,Max Muncy,5
Los Angeles Dodgers,Teoscar Hernandez,6
Los Angeles Dodgers,Gavin Lux,7
Los Angeles Dodgers,James Outman,8
Los Angeles Dodgers,Chris Taylor,9
Atlanta Braves,Ronald Acuna Jr.,1
Atlanta Braves,Ozzie Albies,2
Atlanta Braves,Austin Riley,3
Atlanta Braves,Matt Olson,4
Atlanta Braves,Marcell Ozuna,5
Atlanta Braves,Michael Harris II,6
Atlanta Braves,Sean Murphy,7
Atlanta Braves,Jarred Kelenic,8
Atlanta Braves,Orlando Arcia,9
Chicago Cubs,Ian Happ,1
Chicago Cubs,Dansby Swanson,2
Chicago Cubs,Seiya Suzuki,3
Chicago Cubs,Cody Bellinger,4
Chicago Cubs,Christopher Morel,5
Chicago Cubs,Michael Busch,6
Chicago Cubs,Nico Hoerner,7
Chicago Cubs,Miguel Amaya,8
Chicago Cubs,Pete Crow-Armstrong,9
St. Louis Cardinals,Brendan Donovan,1
St. Louis Cardinals,Lars Nootbaar,2
St. Louis Cardinals,Paul Goldschmidt,3
St. Louis Cardinals,Nolan Arenado,4
St. Louis Cardinals,Willson Contreras,5
St. Louis Cardinals,Nolan Gorman,6
St. Louis Cardinals,Alec Burleson,7
St. Louis Cardinals,Jordan Walker,8
St. Louis Cardinals,Masyn Winn,9
Philadelphia Phillies,Kyle Schwarber,1
Philadelphia Phillies,Trea Turner,2
Philadelphia Phillies,Bryce Harper,3
Philadelphia Phillies,Alec Bohm,4
Philadelphia Phillies,Nick Castellanos,5
Philadelphia Phillies,JT Realmuto,6
Philadelphia Phillies,Bryson Stott,7
Philadelphia Phillies,Brandon Marsh,8
Philadelphia Phillies,Edmundo Sosa,9
Seattle Mariners,J.P. Crawford,1
Seattle Mariners,Julio Rodriguez,2
Seattle Mariners,Jorge Polanco,3
Seattle Mariners,Cal Raleigh,4
Seattle Mariners,Ty France,5
Seattle Mariners,Mitch Haniger,6
Seattle Mariners,Luke Raley,7
Seattle Mariners,Josh Rojas,8
Seattle Mariners,Dominic Canzone,9
