team,lat,lon
Arizona Diamondbacks,33.4455,-112.0667
Atlanta Braves,33.8907,-84.4677
Baltimore Orioles,39.2838,-76.6217
Boston Red Sox,42.3467,-71.0972
Chicago Cubs,41.9484,-87.6553
Chicago White Sox,41.8300,-87.6339
Cincinnati Reds,39.0979,-84.5080
Cleveland Guardians,41.4962,-81.6852
Colorado Rockies,39.7559,-104.9942
Detroit Tigers,42.3390,-83.0485
Houston Astros,29.7573,-95.3555
Kansas City Royals,39.0517,-94.4803
Los Angeles Angels,33.8003,-117.8827
Los Angeles Dodgers,34.0739,-118.2400
Miami Marlins,25.7781,-80.2197
Milwaukee Brewers,43.0280,-87.9712
Minnesota Twins,44.9817,-93.2776
New York Mets,40.7571,-73.8458
New York Yankees,40.8296,-73.9262
Athletics,38.2000,-85.7450
Philadelphia Phillies,39.9061,-75.1665
Pittsburgh Pirates,40.4469,-80.0057
San Diego Padres,32.7073,-117.1573
San Francisco Giants,37.7786,-122.3893
Seattle Mariners,47.5914,-122.3325
St. Louis Cardinals,38.6226,-90.1928
Tampa Bay Rays,27.7682,-82.6534
Texas Rangers,32.7473,-97.0847
Toronto Blue Jays,43.6414,-79.3894
Washington Nationals,38.8730,-77.0074
