team,offense_vs_rhp,offense_vs_lhp,pitching,bullpen
Arizona Diamondbacks,1.01,1.03,0.99,0.98
Atlanta Braves,1.07,1.09,0.96,0.97
Baltimore Orioles,1.04,1.06,0.98,0.99
Boston Red Sox,1.00,1.02,1.03,1.02
Chicago Cubs,0.99,1.01,1.00,1.00
Chicago White Sox,0.92,0.94,1.08,1.05
Cincinnati Reds,0.98,1.00,1.02,1.01
Cleveland Guardians,0.97,0.99,0.97,0.96
Colorado Rockies,0.93,0.95,1.09,1.08
Detroit Tigers,0.96,0.98,0.98,0.99
Houston Astros,1.05,1.07,0.97,0.98
Kansas City Royals,0.97,0.99,1.01,1.00
Los Angeles Angels,0.95,0.97,1.05,1.04
Los Angeles Dodgers,1.08,1.10,0.95,0.96
Miami Marlins,0.94,0.96,1.04,1.03
Milwaukee Brewers,0.99,1.01,0.98,0.97
Minnesota Twins,1.00,1.02,0.99,1.00
New York Mets,1.01,1.03,1.01,1.02
New York Yankees,1.06,1.08,0.96,0.97
Oakland Athletics,0.91,0.93,1.07,1.06
Philadelphia Phillies,1.05,1.07,0.97,0.98
Pittsburgh Pirates,0.94,0.96,1.03,1.02
San Diego Padres,1.02,1.04,0.98,0.99
San Francisco Giants,0.98,1.00,1.00,1.00
Seattle Mariners,0.99,1.01,0.97,0.96
St. Louis Cardinals,0.97,0.99,1.02,1.01
Tampa Bay Rays,1.00,1.02,0.99,0.98
Texas Rangers,1.03,1.05,1.00,1.01
Toronto Blue Jays,1.01,1.03,1.01,1.00
Washington Nationals,0.93,0.95,1.06,1.05
